Ensembl ID;genes;Phase
ENSG00000114745;GORASP1;G2M
ENSG00000179921;GPBAR1;G2M
ENSG00000182851;GPIHBP1;S+G2M
ENSG00000046653;GPM6B;G2M
ENSG00000165370;GPR101;G2M
ENSG00000153294;GPR115;G1
ENSG00000158292;GPR153;G2M
ENSG00000102195;GPR50;G2M
ENSG00000116157;GPX7;G1
ENSG00000141738;GRB7;G1
ENSG00000149403;GRIK4;G2M
ENSG00000124493;GRM4;G2M
ENSG00000244067;GSTA2;S+G2M
ENSG00000105793;GTPBP10;S+G2M
ENSG00000246705;H2AFJ;G2M
ENSG00000099284;H2AFY2;G2M
ENSG00000137814;HAUS2;G2M
ENSG00000092036;HAUS4;G2M
ENSG00000172534;HCFC1;G1
ENSG00000164588;HCN1;G1
ENSG00000100429;HDAC10;G2M
ENSG00000112406;HECA;G2M
ENSG00000069812;HES2;G2M
ENSG00000124440;HIF3A;G2M
ENSG00000181061;HIGD1A;G2M
ENSG00000180573;HIST1H2AC;S
ENSG00000184678;HIST2H2BE;G2M
ENSG00000160883;HK3;G2M
ENSG00000183624;HMCES;G2M
ENSG00000146151;HMGCLL1;G1
ENSG00000152413;HOMER1;G2M
ENSG00000171476;HOPX;G2M
ENSG00000135116;HRK;G2M
ENSG00000132541;HRSP12;S
ENSG00000153976;HS3ST3A1;G1
ENSG00000173110;HSPA6;G2M
ENSG00000170276;HSPB2;G2M
ENSG00000169271;HSPB3;G2M
ENSG00000133265;HSPBP1;G2M
ENSG00000188483;IER5L;G1
ENSG00000216490;IFI30;G2M
ENSG00000006652;IFRD1;G1
ENSG00000163913;IFT122;S
ENSG00000122970;IFT81;G1
ENSG00000104365;IKBKB;G2M
ENSG00000172349;IL16;G2M
ENSG00000016402;IL20RA;G1
ENSG00000104951;IL4I1;G2M
ENSG00000148798;INA;G1
ENSG00000149503;INCENP;G2M
ENSG00000168556;ING2;G2M
ENSG00000132376;INPP5K;G2M
ENSG00000140575;IQGAP1;G1
ENSG00000184216;IRAK1;G2M
ENSG00000168264;IRF2BP2;G2M
ENSG00000185507;IRF7;G2M
ENSG00000169047;IRS1;G2M
ENSG00000177508;IRX3;S+G2M
ENSG00000167930;ITFG3;G2M
ENSG00000161638;ITGA5;G1
ENSG00000091409;ITGA6;G1
ENSG00000135424;ITGA7;G2M
ENSG00000135916;ITM2C;G2M
ENSG00000100605;ITPK1;G1
ENSG00000096968;JAK2;G1
ENSG00000070495;JMJD6;G2M
ENSG00000143543;JTB;G2M
ENSG00000140854;KATNB1;G2M
ENSG00000182359;KBTBD3;G1
ENSG00000180509;KCNE1;G2M
ENSG00000140015;KCNH5;G1
ENSG00000123700;KCNJ2;G2M
ENSG00000080709;KCNN2;G2M
ENSG00000124134;KCNS1;G2M
ENSG00000100379;KCTD17;G2M
ENSG00000089094;KDM2B;G2M
ENSG00000131773;KHDRBS3;G1
ENSG00000164542;KIAA0895;G2M
ENSG00000164659;KIAA1324L;G1
ENSG00000138160;KIF11;G2M
ENSG00000136883;KIF12;G2M
ENSG00000197892;KIF13B;G2M
ENSG00000137807;KIF23;G2M
ENSG00000155980;KIF5A;G2M
ENSG00000164627;KIF6;G2M
ENSG00000167702;KIFC2;G2M
ENSG00000140859;KIFC3;G2M
ENSG00000104892;KLC3;G2M
ENSG00000003096;KLHL13;G2M
ENSG00000179454;KLHL28;G1
ENSG00000111796;KLRB1;G1
ENSG00000105663;KMT2B;G2M
ENSG00000147121;KRBOX4;G1
ENSG00000167768;KRT1;S+G2M
ENSG00000186081;KRT5;G2M
ENSG00000138136;LBX1;G1
ENSG00000135338;LCA5;G1
ENSG00000163202;LCE3D;S
ENSG00000136167;LCP1;G1
ENSG00000182541;LIMK2;G2M
ENSG00000189308;LIN54;G2M
ENSG00000115318;LOXL3;G2M
ENSG00000176454;LPCAT4;G1
ENSG00000134324;LPIN1;S+G2M
ENSG00000165379;LRFN5;G1
ENSG00000155530;LRGUK;G1
ENSG00000137821;LRRC49;S
ENSG00000108829;LRRC59;S+G2M
ENSG00000227507;LTB;G2M
ENSG00000176956;LY6H;S+G2M
ENSG00000178573;MAF;G2M
ENSG00000102316;MAGED2;G2M
ENSG00000135341;MAP3K7;G1
ENSG00000181085;MAPK15;G2M
ENSG00000121653;MAPK8IP1;S+G2M
ENSG00000114738;MAPKAPK3;G2M
ENSG00000136536;Mar.07;G1
ENSG00000204687;MAS1L;G2M
ENSG00000069020;MAST4;G2M
ENSG00000015479;MATR3;G1
ENSG00000134046;MBD2;G2M
ENSG00000204511;MCCD1;S
ENSG00000065328;MCM10;G2M
ENSG00000146701;MDH2;G2M
ENSG00000063322;MED29;S+G2M
ENSG00000141026;MED9;G2M
ENSG00000081189;MEF2C;G2M
ENSG00000111142;METAP2;G1
ENSG00000176624;MEX3C;S
ENSG00000102858;MGRN1;S
ENSG00000008394;MGST1;G2M
ENSG00000141741;MIEN1;G2M
ENSG00000116691;MIIP;G2M
ENSG00000158411;MITD1;G2M
ENSG00000196588;MKL1;G2M
ENSG00000178053;1,00 MLF;G1
ENSG00000087245;MMP2;G2M
ENSG00000106330;MOSPD3;G2M
ENSG00000129255;MPDU1;G2M
ENSG00000196199;MPHOSPH8;G2M
ENSG00000108852;MPP2;G1
ENSG00000197965;MPZL1;G2M
ENSG00000172172;MRPL13;G2M
ENSG00000130312;MRPL34;G2M
ENSG00000198015;MRPL42;G1
ENSG00000162910;MRPL55;G2M
